City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,aklavik,68.2191,-135.0107,-27.83,98,51,1.76,CA,1680271099
310,boulder,40.0833,-105.3505,0.82,39,0,14.31,US,1680270904
311,verkhoyansk,67.5447,133.385,-28.53,99,46,1.15,RU,1680271099
312,koumac,-20.5667,164.2833,25.41,83,0,1.45,NC,1680271100
313,yanji,42.9075,129.5078,11.59,40,0,1.1,CN,1680271100
314,haines junction,60.7522,-137.5108,-8.03,93,100,0.51,CA,1680271100
315,murray bridge,-35.1167,139.2667,13.96,74,62,4.09,AU,1680271100
316,alyangula,-13.8483,136.4192,26.9,81,44,3.15,AU,1680271100
317,cockburn town,21.4612,-71.1419,24.99,66,7,8.93,TC,1680271100
318,sola,-13.8833,167.55,27.66,75,89,3.5,VU,1680271101
319,adrar,20.5022,-10.0711,34.37,5,0,8.57,MR,1680271101
320,nantucket,41.2835,-70.0995,5.08,43,0,4.12,US,1680271101
321,bahia blanca,-38.7196,-62.2724,15.46,50,51,4.92,AR,1680271101
322,chitungwiza,-18.0127,31.0756,25.81,38,58,4.0,ZW,1680271102
323,rantauprapat,2.1,99.8333,23.94,96,100,0.86,ID,1680271102
324,itarema,-2.9248,-39.9167,28.55,72,33,3.64,BR,1680270934
325,krasnozerskoye,53.9828,79.2374,-6.85,86,100,2.5,RU,1680271102
326,guantanamo,20.1444,-75.2092,27.76,48,36,4.24,CU,1680271102
327,san jeronimo,-11.9472,-75.2829,9.86,84,100,1.3,PE,1680271103
328,ihosy,-22.4,46.1167,24.37,81,73,2.0,MG,1680271103
329,santa ana,33.7456,-117.8678,9.51,85,0,3.09,US,1680271100
330,plaster rock,46.9065,-67.39,-2.45,77,71,3.03,CA,1680271104
331,kota belud,6.351,116.4305,23.64,92,100,1.81,MY,1680271104
332,turukhansk,65.8167,87.9833,-22.5,100,22,0.6,RU,1680271104
333,eureka,40.8021,-124.1637,7.74,84,100,0.89,US,1680271104
334,fairbanks,64.8378,-147.7164,-8.02,72,100,1.54,US,1680270939
335,vestmannaeyjar,63.4427,-20.2734,8.55,93,100,9.26,IS,1680271104
336,roald,62.5833,6.1333,8.51,45,0,9.77,NO,1680271105
337,katsuura,35.1333,140.3,14.93,75,8,3.94,JP,1680271105
338,poum,-20.2333,164.0167,26.77,80,1,5.19,NC,1680271105
339,sharjah,25.3573,55.4033,25.16,61,0,5.14,AE,1680271035
340,north myrtle beach,33.816,-78.68,22.29,77,40,4.12,US,1680271105
341,penzance,50.1186,-5.5371,11.38,93,40,11.83,GB,1680271105
342,vieste,41.8825,16.175,15.91,70,100,4.82,IT,1680271105
343,billings,45.7833,-108.5007,0.16,87,100,2.57,US,1680270806
344,kruisfontein,-34.0033,24.7314,21.6,54,80,5.09,ZA,1680271106
345,ancud,-41.8697,-73.8203,10.61,64,100,3.71,CL,1680271106
346,aqtobe,50.2797,57.2072,14.05,54,0,7.0,KZ,1680271106
347,anadyr,64.75,177.4833,-10.72,73,75,7.0,RU,1680271106
348,bangassou,4.7413,22.8184,30.71,47,84,2.11,CF,1680271107
349,ewa beach,21.3156,-158.0072,23.94,89,0,2.06,US,1680271107
350,sherpur,25.0188,90.0175,20.47,89,75,6.64,BD,1680271108
351,bom jesus,-9.0744,-44.3586,32.45,40,25,2.55,BR,1680271108
352,nizhnedevitsk,51.5419,38.3657,2.62,82,100,3.7,RU,1680271108
353,shelburne,44.0787,-80.2041,-0.22,87,100,6.04,CA,1680271108
354,kijang,35.2442,129.2139,14.85,57,6,3.15,KR,1680271108
355,saint andrews,34.0454,-81.1293,17.0,65,75,1.54,US,1680271108
356,flinders,-34.5833,150.8552,16.7,72,70,0.89,AU,1680271109
357,barra do garcas,-15.89,-52.2567,30.32,66,0,1.54,BR,1680271018
358,neyshabur,36.2133,58.7958,21.83,24,15,3.49,IR,1680271109
359,altamira,-3.2033,-52.2064,27.05,83,75,2.57,BR,1680270923
360,borgarnes,64.5383,-21.9206,7.03,97,100,1.66,IS,1680271109
361,saint-denis,48.9167,2.3333,15.77,58,75,13.38,FR,1680271109
362,pisco,-13.7,-76.2167,24.03,83,40,2.06,PE,1680270900
363,hunedoara,45.75,22.9,15.7,57,65,3.43,RO,1680271109
